id,tweet,label
5.8e+17,germanwings passenger plane crashes france httptcobsjhggmchg,rumor
5.8e+17,details germanwings airbus a320 crashes near small town barcelonnette alpesdehauteprovence 4u9525 httptcozu6hn03xzu,non-rumor
5.81e+17,one pilot leaves somebody else supposed go always people richardquest germanwings httptcokckkbkqjvh,non-rumor
5.81e+17,news germanwings pilot muslim convert httptcohq9ydkhw3t,rumor
5.8e+17,yesterday 4u9525 took exactly route yes normal route httptcobjrgzomyab,non-rumor
5.81e+17,breaking germanwings ceo plane victims included german citizens spaniards americans,rumor
5.8e+17,4u9525 age a320 years particularly unusual though higher end curve,non-rumor
5.8e+17,germanwings a320 daipx one oldest a320 serial number delivered nov 4u9525 httptcosw9ykvwtnw,non-rumor
5.81e+17,breaking german news germanwings airbus copilot muslim convert httptcoortt0ab4ya via gatewaypundit,rumor
5.8e+17,last positions germanwings flight plotted map httptcoux5g1gygx7,non-rumor
5.8e+17,watch aviation expert says 4u9525 distress call circulated twitter within three minutes httptcoywo1t8o4xi,rumor
5.8e+17,landed barcelona kaunas found germanwings airplane tragedy thoughts passengers families,non-rumor
5.8e+17,helicopters bringing bodies school gymnasium near site germanwings a320 crash httptco4rusyv7iuchttpstcofqwabr5ea4,non-rumor
5.8e+17,news germanwings flight crashes south france httptcoiy99ucfqq0,non-rumor
5.8e+17,crash germanwings flight extremely unfortunate share sorrow amp pain families board,non-rumor
5.8e+17,flight 4u9525 descending rate feet per minute quite standard airport approach,rumor
5.8e+17,subscribe twitter list latest reports germanwings airbus crash httptcotdzafiztne httptco5a72oanljl,non-rumor
5.8e+17,alert frances transport minister says distress signal sent germanwings plane patthomas europe1 httptconi7bjyj52i,rumor
5.81e+17,update black box recorder reveals one 4u9525s pilots banging door get cockpit httptcoemsy5qu1ud 9news,rumor
5.8e+17,shocked devastated deepest sympathy goes families victims thoughts 4u9525,non-rumor
5.81e+17,ahead could happened germanwings plane happen us panel weighs next kellyfile,non-rumor
5.8e+17,germanwings airbus a320 crashes french alps know httptco3xksctffwt httptcougwghzvbhr,non-rumor
5.8e+17,playback flight 4u9525 available httptcofhox6q0ghtpictures httptcovwg2skc75j httptcoe4d5tx8n1x,non-rumor
5.8e+17,breaking news a320 crashed could germanwings flight 4u9525 barcelona dusseldorf passengers,rumor
5.8e+17,germanwings airbus a320 en route barcleona dusseldorf crashes southern french alps people board httptcodqxzqflg9u,rumor
5.81e+17,families close enough see helicopters nicrobertsoncnn germanwings memorial httptco4rsph7ke3h,non-rumor
5.8e+17,latest update germanwings saying passengers six crew people board a320 crashed httptcouj1vdjyw5s,rumor
5.8e+17,french pm says passengers crew germanwings plane crash feared dead httptcoon24gtcyyv,rumor
5.81e+17,update prosecutor confirms crashed germanwings flight copilot andreas lubitz strong signs crashed purpose,rumor
5.8e+17,breaking reports germanwings airbus a320 crashed french alps come 9news httptcopfeivim9po,rumor
5.8e+17,germanwings crash arrivals board dusseldorf airport httptcozu6hn03xzu httptcomoqt2ldido,non-rumor
5.8e+17,airbus a320 4u9525 crash flight tracking data httptco9w6hftgyqv airbus httptcorchxqsoqdj,non-rumor
5.8e+17,frances la chaine mteo weather site says weather calm area 4u9525 crash httptcoxzviemijjd httptcobbvtoaeeod,non-rumor
5.8e+17,image flightradar24 altitude amp speed chart 4u9525 aircraft entered steep constant descent httptcomog0h2dvaq,rumor
5.81e+17,copilot germanwings airbus convert islam httptcocxkx67pyqt,rumor
5.81e+17,tribute lives lost germanwings flight next ac360 httptcozdhwf3pyn9,non-rumor
5.8e+17,lufthansa germanwings established telephone hotline tollfree number available families,non-rumor
5.8e+17,image flightradar24 planes last position 4u9525 httptcocieayj4aof bbcrosatkins,non-rumor
5.8e+17,lufthansa ceo spohr fears confirmed dark day lufthansa hope find survivors 4u9525,non-rumor
5.8e+17,route germanwings airbus a320 plane crashed updates alpscrash httptcol8qr5lp1c1 httptcovg7819orud,non-rumor
5.81e+17,germany thanks convert islam andreaslubitzgermanywings httptcoj6otgrwhjo httptco2a0zoskja6,rumor
5.8e+17,germanwings a322 4u9525 bcndus least passengers crashed today utc httptcol7wtodurt7,rumor
5.8e+17,heres recap key points far germanwings alps plane crash live updates httptco8upmsinqkx httptcohnjzvcruqq,non-rumor
5.8e+17,update afp aviation official says germanwings crew send distress signal,rumor
5.8e+17,live french air force ec flying area crash germanwings httptco6z0zenmosn httptcoah5h6qxirp,non-rumor
5.81e+17,germanwings tragedy try remember captain patrick sonderheimer tried kick door save plane,non-rumor
5.8e+17,follow live coverage germanwings flight 4u crash france httptcoqdmrxb1v6i httptcopgwtvw4fzb,non-rumor
5.8e+17,debris 4u9525 a320 airbus located french alps crash meters altitude httptcojldcz6ahfr httptcogvxg16a8cm,non-rumor
5.8e+17,hear reports germanwings crash remember patient truth takes time httptcogbwzs3pikg httptcossghe6blyc,non-rumor
5.8e+17,germanwings darkened logo twitter following crash one planes french alps httptco9qian60uob,non-rumor
5.81e+17,doomed germanwings copilot suffered burnout depression years crash httptconkqworwkuk httptcoqrmjtwgair,rumor
5.81e+17,tribute lives lost germanwings crash set music olegbryjak amp mariaradner httptcouq0hxlcnsk httptcolkwqgecgbx,non-rumor
5.8e+17,pilots crashed germanwings flight declared emergency plane fell rapidly httptco9yonrfres3,rumor
5.81e+17,german news copilot germanwings airbus muslim convert hero islamic state httptcoj8budbthpm via gatewaypundit,rumor
5.8e+17,alert photo germanwings crash plane lost signal feet flight radar shows itvnews httptcom358qc2na1,rumor
5.81e+17,french prosecutor names copilot germanwings plane crashed alps andreas lubitz controls plane,rumor
5.8e+17,thoughts amp prayers families friends germanwings 4u9525 passengers amp crew,non-rumor
5.8e+17,rescue teams near 4u9525 crash site httptcozu6hn03xzu pics via actusecours germanwings httptcoideo1spam4,non-rumor
