id,tweet,label
`5.80E+17,lockdown parliament library main branch u downtown schools ottawa police hq cbc hq rideau centre courthouse cbcott ottnews,rumor
`5.80E+17,canada unreal gt footage globe reporter captures exchange gun fire parliament hill building httptcoibb9wtc3nh,rumor
`5.80E+17,university ottawa five minute walk hill lockdown,rumor
`5.80E+17,pictures shots fired parliament hill soldier shot national war memorial httptcowdkeiy9p8e httptcouq4yy2nw9c,rumor
`5.80E+17,cops running guns drawn theyre clearing streets downtown ottawa snipers rooftops,non-rumor
`5.80E+17,thoughts ottawa morning stay safe,non-rumor
`5.80E+17,please tweet photos locations police ottawa parliament buildings torontopolice ottawapolice,non-rumor
`5.80E+17,breaking peter mansbridge reporting one suspect shot dead inside parliament hill,rumor
`5.80E+17,incredible footage joshwingrove shots fired parliament building ottawa httpstcouligb9bkob,non-rumor
`5.80E+17,ottawa sending postive vibes stay away rooftops windows downtown shooter still parliament hill httptcowzbrh1x9sq,rumor
`5.80E+17,ottawa police say dealing multiple suspects confirm whether bothall guns ottawa still pretty much locked,rumor
`5.80E+17,something profoundly sinister shooting parliament hill sacred space use words weapons,rumor
`5.80E+17,university ottawa lockdown classes cancelled,rumor
`5.80E+17,royal canadian mounted police warned people downtown ottawa stay away windows rooftops httptcocmjaq7scjt,non-rumor
`5.80E+17,confirmed shooter shot dead parliament hill suspect cbcott ottnews,rumor
`5.80E+17,ottawa police stations closed university ottawa lockdown campus closed,rumor
`5.80E+17,opinion sure proceed nhl game tonight ottawa,non-rumor
`5.80E+17,rt btsbighit episode bts war hormone mv amp concept photo shooting eng subhttptcoypladhnrodhellohello,non-rumor
`5.80E+17,ottpolice rcmpgrcpolice investigating several shooting incidents downtown ottawa,non-rumor
`5.80E+17,stay us live coverage active shooting canadian parliament httptcovglagcubqz httptcoci7ixtjc82,rumor
`5.80E+17,still lockdown safe check globeandmail video attack parliament hill ignore cursing hear,non-rumor
`5.80E+17,global news camera man reporting shots fired chateau laurier hotel ottawa,rumor
`5.80E+17,reuters one gunman shot dead inside canadian parliament building ottawashooting,rumor
`5.80E+17,see parliament hill youre danger cop shouts behind chateau laurier,non-rumor
`5.80E+17,rt cbcottawa confirmed shooter shot dead parliament hill suspect cbcott ottnews,rumor
`5.80E+17,live ongoing ctvnewsabc coverage active shooting incident near canadian parliament httptco0nuzhcvr2j httptcowxb5uphp4l,non-rumor
`5.80E+17,youre parliament hill please dont tweet location thatactivities police yourtheir safety incident ottawa,non-rumor
`5.80E+17,recap gunman shot dead inside parliament buildings police believe may others loose cdn soldier shot earlier war memorial,rumor
`5.80E+17,raw footage live coverage shooting parliament httptcobxr3thpsv0 httptcomawprvualc,non-rumor
`5.80E+17,ottawa police actively looking one suspects canadian parliament shooting httptcouq4xo5jvhf,rumor
`5.80E+17,ottawa police twitter users urging scene stop tweeting police officer locations ottawa,non-rumor
`5.80E+17,incidents occurred national war memorial near rideau centre parliament hill morning ottnews,rumor
`5.80E+17,thoughts prayers everyone hometown today ottawa,non-rumor
`5.80E+17,ottawa shooting police killed guman believe still large reports httptcozp9akplh9p httptcof5jsyoog9b,rumor
`5.80E+17,working ottawa dowtown area follow instructions building management ottnews,non-rumor
`5.80E+17,update attacker shot dead parliament soldier shot war memorial httptcopp6hcfwcrw ottawashooting httptcotx8j82foyc,rumor
`5.80E+17,ottpolice rcmpgrcpolice asking public stay away downtown ottawa area ongoing investigation,non-rumor
`5.80E+17,leafs lock tragedy ottawa thoughts scene httptco627ve85uhh httptcoqpgorcteve,non-rumor
`5.80E+17,thoughts everyone city ottawa today,non-rumor
`5.80E+17,police asking tweet abt retweet otherwise report police locations amp activity ottawa help jobs safely please,non-rumor
`5.80E+17,watch live manhunt canadian parliament shooting suspect httptcoowi4jj0x5i via ctvnews httptcoiqissyhwp2,rumor
`5.80E+17,soldier gets cpr shot war memorial ottawa httpstcogifvpfccbv,rumor
`5.80E+17,ottawa police building remain lockdown closed public ottnews,non-rumor
`5.80E+17,correct descriptor shooter radical muslim terrorist ottnews ottawashooting cdnpoli,non-rumor
`5.80E+17,breaking soldier shot canadian capital ottawa gunman believed entered parliamenthttptco3dwynf22ai,rumor
`5.80E+17,police confirm multiple suspects involved shooting incident ottawa war memorial vassykapelos amyminsky httptcoaf9hyt9bgx,rumor
`5.80E+17,breaking two three gunmen involved shooting canada war memorial ottawa police say httptcoqsangnqbew,rumor
`5.80E+17,inside parliament building ottawa shots fired police sweephttpstcofou4pbncdqfootage shot joshwingrove,non-rumor
`5.80E+17,according reports one gunman dead ottawa parliament shooting live coverage httptconzrplq5coo httptcof6pv2xgrbh,rumor
`5.80E+17,latest update attacker shot dead parliament soldier shot national war memorial httptcopp6hcfwcrw httptcohxodwizfj6,rumor
`5.80E+17,update police several shooting incidents investigated downtown ottawa httptco9maaywtu03 httptcoww0aqmzrib,rumor
`5.80E+17,raw video war memorial shooting httptcoc9wcps2af9 cbcnews,non-rumor
`5.80E+17,university ottawa lockdown earlier shooting canadas parliament buildings uottawadirect says httptco65jm05b8ts,rumor
`5.80E+17,ottawa police police stations closed due ongoing shooting situation public services available notice worldnews,non-rumor
`5.80E+17,shooting public places claiming insanity stealing peoples land mass genocides rt poeticgenius19 whats white culture,non-rumor
`5.80E+17,updated canadian soldier killed attack parliament hill ottawa httptcotmfdn2gabh,rumor
`5.80E+17,active shooting canada call america wednesday,non-rumor
`5.80E+17,thoughts prayers everyone ottawa morning,non-rumor
`5.80E+17,updated list reporters witnesses citizens police military tweeting downtown ottawa httpstcoicwqkfuppv,non-rumor
`5.80E+17,canadian forces bases across country closed public wake shooting soldier ottawa war memorial cdnpoli,non-rumor
`5.80E+17,updated attacker shot dead parliament soldier shot national war memorial httptco4kp3lib1ds cbcott ottnews,rumor
`5.80E+17,credible sources tell sunnewsnetwork may many five active shooters ottawa httptcoriheafk9wv httptcostc2o4wlcs,rumor
`5.80E+17,deeply saddened concerned events unfolding ottawa morning thoughts residents amp first responders,non-rumor
`5.80E+17,important ottawa police urging people tweet location police activity field shooting scene remains active,non-rumor
`5.80E+17,reports 2nd shooter shot downtown ottawa ottnews,rumor
`5.80E+17,breaking shooter dead according sources parliament hill,rumor
`5.80E+17,frightening events ottawa game yet postponed betting schools malls closed,non-rumor
`5.80E+17,shooting someone already bad enough shooting soldier guarding war memorial disgusting prayforottawa,rumor
`5.80E+17,bus service downtown ottawa currently major detours details httptcohcxdtq7ulk,non-rumor
`5.80E+17,breaking news new york times reporting canadian soldier shot died injuries heartbreaking cdnpoli ableg,rumor
`5.80E+17,sorry dont understand knock america issues gun control one minimizing ottawa shooting,non-rumor
`5.80E+17,rightnow bridges ottawa gatineau closed active search still underway 37est parliamenthill httptcofmpaccai2b,rumor
`5.80E+17,ottawa police service numerous gunmen canada war memorial shooting one person shot httptcoznhxk6wboy,rumor
`5.80E+17,latest numerous gunmen involved ottawa shooting attacks manhunt police spokesman httptcozp9akplh9p httptcohji1netpu8,rumor
`5.80E+17,leaf players say heard shots morning tomb unknown soldier scary events ottawa,rumor
`5.80E+17,breaking police source told globe second shooter shot ottawashooting,rumor
`5.80E+17,latest cbcnews ottawa shootings gunman killed inside parliament soldier shot war memorial httptcokngapktsce cdnpoli,rumor
`5.80E+17,breaking one gunman killed following shooting parliament hill sources confirm ctv news,rumor
`5.80E+17,dramatic video gunfire inside parliament hill httptco8xcefbbnza httptcosyydkfoxai,rumor
`5.80E+17,breaking ctvottawa confirms one shooter dead police working assumption one shooter shooting incidents ottnews,rumor
`5.80E+17,thoughts everyone ottawa time,non-rumor
`5.80E+17,update reports shooter shot addition one shot killed earlier parliament hill ottnews ottawashooting,rumor
`5.80E+17,always say ottawa best place safe nothing changes today people change capital,non-rumor
`5.80E+17,breaking news ottawa police confirm least separate shooting sites multiple suspects httptcolxfiyavimz,rumor
`5.80E+17,easty say happen tomorrow people assemble parliament hill,non-rumor
`5.80E+17,canadian military bases closed soldier shot natl war memorial ongoing situation near parliament williamsjon,non-rumor
`5.80E+17,ottawa police issued statement three separate shooting incidents inside parliament one war memorial one rideau centre,rumor
`5.80E+17,raw video parliament hill shootingvideo inside parliament hill shots fired breaking httptcosiwoid5roh cbcnews,rumor
`5.80E+17,alone today ottawa need talk cry whatever,non-rumor
`5.80E+17,ottawa police report third shooting incident rideau centre word injuries,rumor
`5.80E+17,ctv received confirmation ottawa police three different shooting incidents ottnews ottawashooting,rumor
`5.80E+17,stay safe ottawa phrase need never uttered world,non-rumor
`5.80E+17,watch bullets fly inside hallways parliament hill httptcor8buhfrvx2 ottawa,rumor
`5.80E+17,breaking ottawapolice confirm one death parliament hill separate shootings war memorial hill near rideau centre ctvottawa,rumor
`5.80E+17,matter ottawa theres chance mom worried textemailcall family,non-rumor
`5.80E+17,coincidence nobelist malala youseafzai receive honorary canadian citizenship ottawa today httptcoftqyvddtlo,non-rumor
`5.80E+17,new ottawa police reporting 3rd shooting scene rideau centre mall close parliament hill,rumor
`5.80E+17,gun fire exchange parliament hill building ottawa parliament shooting canada besafeottawa httpstco9rdjnvvkjw via martinvass2,rumor
`5.80E+17,gunman killed shooting war memorial canadian parliament ottawa media reports say httptcosj9jokow2x,rumor
`5.80E+17,keep advice breaking news consumers handbook mind coverage ottawa continues httptcoxhpjzvyxrj httptcotow6ji8ng7,non-rumor
`5.80E+17,ottawashooting police say investigating shootings one war memorial one parliament hill one near rideau centre,rumor
`5.80E+17,ottawa police report third shooting rideau centre reports injuries,rumor
`5.80E+17,breaking ottawa police confirm least three separate shootings,rumor
`5.80E+17,livecoverage several shooting incidents near canadian parliament httptco0nuzhcvr2j httptcozjo2hqqtlf,rumor
`5.80E+17,ottawa police say shootings ottawa parliament war memorial rideau centre mall httptcos0be3bann7,rumor
`5.80E+17,update one shooter possibly loose ottawa amid reports shootings city httptcotjyct5yqcv,rumor
`5.80E+17,breaking ottawa police confirm ctv news least three separate shootings,rumor
`5.80E+17,thoughts ottawa today important always look helpers httptcojih33zfgwq,non-rumor
`5.80E+17,breaking ottawa police confirming 3rd shooting one rideau centre mall word injuries oneottawashooting,rumor
`5.80E+17,due shooting parliament hill ottawa earlier currently lockdown update information available,non-rumor
`5.80E+17,praying everyone ottawa right,non-rumor
`5.80E+17,rcmp advises downtown ottawa stay away windows roofs due ongoing police incident,non-rumor
`5.80E+17,white house official pres obama briefed shooting incidents canadian capital marykbruce,non-rumor
`5.80E+17,please exercise restraint looking someone group immediately blame ottawashooting,non-rumor
`5.80E+17,canada parliament shooting still active shooter separate shooting sites multiple gunmen gunmen deadhttptcolxfiyavimz,rumor
`5.80E+17,live stream cbc news coverage ottawashooting httptcofumpnqi8iw mobile httptcokf24bmajdq cbcnn httptcoaux7jignowb,non-rumor
`5.80E+17,dramatic photos wcuddington scene ottawa httptcom4fe8krpxl httptcoxzlbn9m2ga,non-rumor
`5.80E+17,thinking friends ottawa morning please safe,non-rumor
`5.80E+17,shooting soldiers guarding war memorialterrorism really doesnt get much cowardly bastards,rumor
`5.80E+17,ctvottawa confirms separate shootings one parliament hill one national war memorial one rideau centre,rumor
`5.80E+17,thinking everyone ottawa right please careful stay safe situation control,non-rumor
`5.80E+17,listen live special coverage parliament hill shooting httptcotynhh2ufcb httptcofwn00hbv6k,non-rumor
`5.80E+17,video cbc nn globeandmail video showing shots fired inside parliament hill cdnpoli httptcojt71xtmlet httptcoqlqgmla6zt,rumor
`5.80E+17,im like shooting star ive come far cant go back used jasmine aladdin,non-rumor
`5.80E+17,police pursuit multiple shooters ottawa pm safe downtown buildings lockdown httptco3fcwafpa4y httptcosi3yy0brrd,rumor
`5.80E+17,extended dramatic video gunfire inside hallways parliament hill globe mail httptcosbou4rap96 httptco71rnixs3eb,rumor
`5.80E+17,joerayment dramatic photos wcuddington scene ottawa httptconbnryercrm httptcoxxwgdow82q prayforottawa,non-rumor
`5.80E+17,ottawapolice incidents occurred national war memorial near rideau centre parliament hill live blog httptcoq98amohu7t,rumor
`5.80E+17,breaking 3rd shooting incident reported ottawa rideau centre mall,rumor
`5.80E+17,want commend courage bravery first responders ground ottawa right,non-rumor
`5.80E+17,thinking everyone ottawa morning thoughts prayers solider family canada,non-rumor
`5.80E+17,police say shooting scenes parliament war memorial rideau centre happened close together police say cbcott ottnews,rumor
`5.80E+17,ctv reports soldier shot war memorial still alive,rumor
`5.80E+17,us embassy ottawa lockdown following shooting incidents near canadian parliament williamsjon,non-rumor
`5.80E+17,breaking ctv ottawa confirms separate shootings one parliament hill one national war memorial one near rideau centre,rumor
`5.80E+17,cxn gunman shot dead parliament hill attack soldier shot ottawa httptcopp6hcfwcrw report soldier dead ottawashooting,rumor
`5.80E+17,new us embassy ottawa lockdown due shooting near canadian parliament usembassyottawa,non-rumor
`5.80E+17,remember tweet location police ottawa ottawashooting,non-rumor
`5.80E+17,thoughts prayers canadian soldier shot guarding national war memorial ottawa ableg cdnpoli,rumor
`5.80E+17,breaking police confirm multiple suspects ottawa shooting httptcotyceeltjqc,rumor
`5.80E+17,thoughts prayers ottawa affected today,non-rumor
`5.80E+17,ottawa footage video captures moment shots fired canadian parliament httptcozp9akplh9p httptcockao04v5gm,rumor
`5.80E+17,seeing reports soldier shot war memorial still alive hang brother canada,rumor
`5.80E+17,witness tells cnn gunman shot one two soldiers standing guard war memorial ottawa live blog httptcoq98amohu7t,rumor
`5.80E+17,leafs currently lockdown mode hotel downtown ottawa,non-rumor
`5.80E+17,watch video showing gunfire inside canadas parliament ottawa httptcocjpxnak8ns httptcohxwr2ner2k,rumor
`5.80E+17,clarification shooting near rideau centre police say inside cbcott ottnews,rumor
`5.80E+17,breaking news canadian officials calling todays parliament shooting terrorist attack httptcolxfiyavimz,rumor
`5.80E+17,ottawa shootings check breaking news handbook onthemedia httptcocbuzxvqblg httptcoryj8ktquu4,non-rumor
`5.80E+17,extended video numerous gunshots heard inside centre block parliament hill httptcopvcagkdahe,rumor
`5.80E+17,heres footage shot globe reporter joshwingrove gun fire parliament hill building httptcofou4pbncdq,rumor
`5.80E+17,covered polytechnique concordia dawson shootings remember least half hear ottawa shootings prove untrue,non-rumor
`5.80E+17,breaking us embassy ottawa lockdown due shooting parliament hill,non-rumor
`5.80E+17,please post videos photos ongoing incident ensure safety first responders public ottawa jt,non-rumor
`5.80E+17,canadian officials calling todays parliament shooting terrorist attack httptco5vymwgwyx3 httptcojqn39e7hta,rumor
`5.80E+17,latest photos ottawas parliament hill httptcoibngjig2pg httptcofteukz6d9x,non-rumor
`5.80E+17,police confirm 3rd shooting area rideau centre mall downtown ottawa east parliament hill cdnpoli,rumor
`5.80E+17,confirmed reports three shootings ottawa war memorial parliament shopping mall,rumor
`5.80E+17,police ottawa searching suspected gunmen shot solider fired shots parliament morning httptco1ckihwuczl,rumor
`5.80E+17,thoughts emergency responders bystanders ottawa please stay safe,non-rumor
`5.80E+17,simply shocked whats unfolding canadas capital thinking ottawa,non-rumor
`5.80E+17,breaking president obama briefed situation ottawa white house official says httptcoqsangnqbew,non-rumor
`5.80E+17,thoughts nations capital right praying affected todays tragic events parliament hill ottawa,non-rumor
`5.80E+17,rcmp asking assistance photos videos ottawa shooting send natdivmediadivnatrcmpgrcgcca,non-rumor
`5.80E+17,ottawa police confirm separate shooting incidents today parliament hill war memorial near area mall cp24 cbcnews,rumor
`5.80E+17,latest shooting ottawa w dramatic video inside canadian parliament building globeandmail httptcoixfjojwp6y,rumor
`5.80E+17,shooting locks canadian parliament one suspect reported dead httptcoh3z4ptvsuu,rumor
`5.80E+17,watch video ottawa shooting witness clips httptcohnxkafjdp1,non-rumor
`5.80E+17,least shots fired inside parliament ottawa httptco1ckihwuczl,rumor
`5.80E+17,rideau centre general manager tell globeandmail shooting inside mall people cant leave enter ottawashooting,rumor
`5.80E+17,sort live terror shooting seems going canada pray polite neighbors north,non-rumor
`5.80E+17,photos scene unfolding multiple shootings ottawa morning httptcoxq8ihiuf5x httptcows4pka5ddg,non-rumor
`5.80E+17,police say shots fired places national war memorial parliament hill near rideau centre mall httptcozuiqfdn4nl,rumor
`5.80E+17,stand w canadian partners scene unfolds ottawa stand resolute defense nationsfirst responders thoughts,non-rumor
`5.80E+17,bright spot ottawa today ottawaparamedic amazing job keeping young soldier alive,non-rumor
`5.80E+17,canada remain true north strong free today events cant wont break spirit cdnpoli ottawashooting,non-rumor
`5.80E+17,police confirming 3rd shooting rideau center ottawa popular shopping mall downtown tense city ottawastrong,rumor
`5.80E+17,watch live cp24s special coverage shootings ottawa httptcofbehwi1vza httptco9jjqmrkfkg,non-rumor
`5.80E+17,careful read ottawa repeat tipsheet via archiemc httptcobifpgrpmea,non-rumor
`5.80E+17,breakingottawa police asking facebook twitter users stop reporting police locations parliamenthill,non-rumor
`5.80E+17,shot inside caucus room shooting ctvottawa ottawashooting httptcojjewpnbuw7,non-rumor
`5.80E+17,police investigating three shooting incidents ottawa parliament shopping mall war memorial httptco1ckihwuczl,rumor
`5.80E+17,ap video gunman shoots canadian soldier standing guard national war memorial ottawa httptcoeldzhza0q9,rumor
`5.80E+17,nhl reportedly monitoring situation ottawa shootings could postpone sensleafs game httptcooavgx3e04i httptcokiybrf4d5y,non-rumor
`5.80E+17,ottawa police asking facebook twitter users stop reporting police locations,non-rumor
`5.80E+17,doors barricaded rt grahamctv shot inside caucus room shooting ctvottawa ottawashooting httptcooperh3gimu,non-rumor
`5.80E+17,police say shots fired ottawa sites national war memorial parliament hill rideau shopping centre httptcoronqpubuqc,rumor
`5.80E+17,chairs piled door surreal rtgrahamctv shot inside caucus room shooting httptcocmjbhsdsmo,non-rumor
`5.80E+17,locations shootings ottawa around parliament hill goofleearthfrom cnnjasonhttptcodsyngbc02u,rumor
`5.80E+17,map areas ottawa shootings reported national war memorial near rideau centre parliament hill httptconcfncr5vcv,rumor
`5.80E+17,photos scene ottawa police confirm several shootings httptco1vpa0rerqg httptcodjjyh5s30c,rumor
`5.80E+17,breaking police asking media run get away still active shooting reports police guns drawn rideaucentre ottnews,non-rumor
`5.80E+17,yet sadly evidence brave forces amp police folks courage takes rush others rush ottawa,non-rumor
`5.80E+17,sending thoughts prayers everyone ottawa difficult time pls follow ottawapolice amp rcmpgrcpolice latest info,non-rumor
`5.80E+17,thoughts prayer goes involved tragic events morning ottawa,non-rumor
`5.80E+17,canadians sadness amp outrage todays ottawashooting tragedy let us unitedresolved stand strong together cdnpoli,non-rumor
`5.80E+17,know far canadian parliament shooting ottawa httptco3nufy6johm httptco9iwwhbppzv,non-rumor
`5.80E+17,ottawa shootings reportedly three locations parliament war memorial shopping mall httptcofulkb6vpev httptcoml9ivehy6q,rumor
`5.80E+17,gunman loose downtown ottawa canadian citizens disarmed government target rich environment ottawashooting,rumor
`5.80E+17,thoughts prayers everyone affected tragic events ottawa morning stay safe ottawastrong,non-rumor
`5.80E+17,reports shooting rideau centre misstated shooting location,rumor
`5.80E+17,harper make statement today gunman shot dead parliament pm safe parliament hill briefed security officials,rumor
`5.80E+17,norad increases number planes higher alert status ready respond necessary official says httptcoqsangnqbew ottawashooting,rumor
`5.80E+17,parliament caucus room barricaded chairs via grahamctv httptcocjqhgwha38 ottawa,non-rumor
`5.80E+17,monitoring situation ottawa touch clubs,non-rumor
`5.80E+17,overwhelming guilty verdict blackwater case murder manslaughter weapons declares nisour square shooting criminal act,non-rumor
`5.80E+17,striking image rt acarvin parliament caucus room barricaded chairs via grahamctv httptcocmccwcdtsf ottawa,non-rumor
`5.80E+17,incredible shot woman gives mouthtomouth fallen soldier war memorial httptcoyv1uipyjjs httptco1yetcecvm5,non-rumor
`5.80E+17,ottawa police confirm multiple suspects shooting saying possibly shooters httptcoin9ogoxyxm,rumor
`5.80E+17,okay scared ottawa,non-rumor
`5.80E+17,breaking two new patients coming ottawa hospital civic campus one gunshot wounds confirmed ottnews,rumor
`5.80E+17,stunning photo inside caucus room shooting httptcowggcpeyz67httptcooperh3gimu,non-rumor
`5.80E+17,well never forget today amp brave men women working hard protect capital thank ottawa httptco7ndhv6mtym,non-rumor
`5.80E+17,stay safe everyone back home ottawa prayforottawa,non-rumor
`5.80E+17,sickening news morning thoughts downtown law men women working keep city safe ottawa,non-rumor
`5.80E+17,hoping everyone ottawa safe,non-rumor
`5.80E+17,photos ottawashooting scene unfolding reports multiple shootings httptco2wfcajf7kx httptcooj00x6o0xw,non-rumor
`5.80E+17,first response ottawashooting make political point humanity sadly sorely lacking,non-rumor
`5.80E+17,police confirm several shootings ottawa pm safe downtown buildings lockdown httptcowx22npkcfs httptcoflvvbw7cu2,rumor
`5.80E+17,breaking four blackwater guards convicted voluntary manslaughter baghdad shooting httptcohr7xe18rj2,non-rumor
`5.80E+17,breaking ottawa civic hosp official says two new patients enroute hospital wgunshot wounds stable ctvottawa ottnews,rumor
`5.80E+17,police bystanders soldiers rushed help memorial shooting ottawa httptcoao700dweow httptcotsghpnquhx,non-rumor
`5.80E+17,response ottawa incidents norad increased number planes higher alert status ready respond needed httptcoq98amohu7t,rumor
`5.80E+17,thoughts everyone ottawa today stay safe,non-rumor
`5.80E+17,police canada confirmed nbc multiple gunmen involved appears coordinated series shootings ottawa,rumor
`5.80E+17,us jury finds four former blackwater guards guilty nearly every count related baghdad shooting,non-rumor
`5.80E+17,areas ottawashootings reported httptcokkgffesrd5 httptcovvyip1fqjm,rumor
`5.80E+17,governing partys meeting wow acarvin parliament caucus room barricaded chairs via grahamctv httptcojlmqrlm2tu ottawa,non-rumor
`5.80E+17,incredible photo woman gives mouth mouth wounded solider ottawashooting httptcofd2wpl76z2 httptcoeh7urlztef,non-rumor
`5.80E+17,senior us official canadian government informed us one shooter dead ottawa live blog httptcoq98amohu7t,rumor
`5.80E+17,update ottawa police confirm gunman canada shooting shot killed search possible additional gunmen httptcosv7zh50tlf,rumor
`5.80E+17,chairs door mt grahamctv photo inside caucus room shooting httptcoelageubvm1,non-rumor
`5.80E+17,bc stands canada violence ottawa brave men women keeping capital safe,non-rumor
`5.80E+17,timing parliament shootings hour later mps dozens reporters would hall shooting took place,rumor
`5.80E+17,rt scottbix incredible shot woman gives mouthtomouth fallen soldier war memorial httptcoetljykbry8 hillshooting,non-rumor
`5.80E+17,ottawa police asking fb twitter users stop reporting police locations movements,non-rumor
`5.80E+17,caucus room barricaded shooting httptcofgi0jtxe2f,non-rumor
`5.80E+17,evacuated roof parliament hill centre block dmatthewmillar httptcor6tuyajmtd httptco7wfnbylhiz ottawashooting,non-rumor
`5.80E+17,everyone ottawa please stay safe httptcobqam7b2wrh,non-rumor
`5.80E+17,surreal photo ottawa doors tory caucus room parliament hill blockaded furniture wow cdnpoli httptcoifntavhop2,non-rumor
`5.80E+17,terrible news ottawa today thoughts prayers everyone involved ottawastrong httptcoenlyevhhtk,non-rumor
`5.80E+17,breaking shots fired three separate locations ottawa say ottawa police httptco64ryfqadx1,rumor
`5.80E+17,ottawa shooting soldier shot memorial gunfire parliament pm safe speak later today httptcodknjoduorr,rumor
`5.80E+17,lockdown many buildings downtown ottawa lockdown shooting investigations continue httptcokkuguz4zhc cbcott ottnews,non-rumor
`5.80E+17,times like important stand together nation canadastrong ottawa stay safe remain vigilant httptcoummnjbfpvb,non-rumor
`5.80E+17,thoughts prayers toronto ottawa right families affected attacks,non-rumor
`5.80E+17,extended video guns raised officers rush towards rideaucentre httptcoyhpg2o8xeh httptcouspyju85as,rumor
`5.80E+17,canadian soldier shot ottawas war memorial reservist serving argyll sutherland highlanders hamilton ont,rumor
`5.80E+17,new victims en route ottawa hospital shot nonlifethreatening hospital says michaelctv cbcnews httptcowcqpcyqmxk,rumor
`5.80E+17,ottawa police service one hurt shooting near ottawas rideau centre live blog httptcoq98amohu7t,rumor
`5.80E+17,breaking rick hughes cbc hamilton soldier shot ottawa wednesday morning reservist serving hamilton,rumor
`5.80E+17,one hurt shooting ottawas rideau centre scene attacks canadian police say httptcoqsangnqbew ottawashooting,rumor
`5.80E+17,thoughts prayers canadians everyone ottawa brave women men armed forces today,non-rumor
